date,price,shares,cash,equity
2021-06-03,1.44,0,1000.0,1000.0
2021-06-04,1.53,0,1000.0,1000.0
2021-06-07,1.64,0,1000.0,1000.0
2021-06-08,1.65,0,1000.0,1000.0
2021-06-09,1.59,0,1000.0,1000.0
2021-06-10,1.59,0,1000.0,1000.0
2021-06-11,1.66,0,1000.0,1000.0
2021-06-14,1.6,0,1000.0,1000.0
2021-06-15,1.67,0,1000.0,1000.0
2021-06-16,1.73,0,1000.0,1000.0
2021-06-17,1.66,0,1000.0,1000.0
2021-06-18,1.6,0,1000.0,1000.0
2021-06-21,1.58,0,1000.0,1000.0
2021-06-22,1.6,0,1000.0,1000.0
2021-06-23,1.53,0,1000.0,1000.0
2021-06-24,1.56,0,1000.0,1000.0
2021-06-25,1.45,0,1000.0,1000.0
2021-06-28,1.41,0,1000.0,1000.0
2021-06-29,1.33,0,1000.0,1000.0
2021-06-30,1.4,0,1000.0,1000.0
2021-07-01,1.42,0,1000.0,1000.0
2021-07-02,1.37,0,1000.0,1000.0
2021-07-06,1.3,0,1000.0,1000.0
2021-07-07,1.27,0,1000.0,1000.0
2021-07-08,1.23,0,1000.0,1000.0
2021-07-09,1.28,0,1000.0,1000.0
2021-07-12,1.25,0,1000.0,1000.0
2021-07-13,1.22,0,1000.0,1000.0
2021-07-14,1.16,0,1000.0,1000.0
2021-07-15,1.13,0,1000.0,1000.0
2021-07-16,1.05,237,750.4,999.25
2021-07-19,1.1,237,750.4,1011.1
2021-07-20,1.1,237,750.4,1011.1
2021-07-21,1.19,237,750.4,1032.43
2021-07-22,1.17,237,750.4,1027.69
2021-07-23,1.15,237,750.4,1022.95
2021-07-26,1.17,237,750.4,1027.69
2021-07-27,1.14,237,750.4,1020.58
2021-07-28,1.28,237,750.4,1053.76
2021-07-29,1.23,237,750.4,1041.91
2021-07-30,1.13,237,750.4,1018.21
2021-08-02,1.13,237,750.4,1018.21
2021-08-03,1.13,237,750.4,1018.21
2021-08-04,1.09,237,750.4,1008.73
2021-08-05,1.14,237,750.4,1020.58
2021-08-06,1.19,237,750.4,1032.43
2021-08-09,1.14,237,750.4,1020.58
2021-08-10,1.19,237,750.4,1032.43
2021-08-11,1.21,237,750.4,1037.17
2021-08-12,1.15,237,750.4,1022.95
2021-08-13,1.16,237,750.4,1025.32
2021-08-16,1.09,237,750.4,1008.73
2021-08-17,1.04,237,750.4,996.88
2021-08-18,1.14,237,750.4,1020.58
2021-08-19,1.05,237,750.4,999.25
2021-08-20,1.08,237,750.4,1006.36
2021-08-23,1.12,237,750.4,1015.84
2021-08-24,1.12,237,750.4,1015.84
2021-08-25,1.16,237,750.4,1025.32
2021-08-26,1.12,237,750.4,1015.84
2021-08-27,1.21,237,750.4,1037.17
2021-08-30,1.21,237,750.4,1037.17
2021-08-31,1.3,237,750.4,1058.5
2021-09-01,1.31,237,750.4,1060.87
2021-09-02,1.44,237,750.4,1091.68
2021-09-03,1.48,237,750.4,1101.16
2021-09-07,1.52,237,750.4,1110.64
2021-09-08,1.51,237,750.4,1108.27
2021-09-09,1.46,237,750.4,1096.42
2021-09-10,1.66,166,867.91,1143.47
2021-09-13,1.78,100,985.04,1163.04
2021-09-14,1.84,0,1168.49,1168.49
2021-09-15,2.05,0,1168.49,1168.49
2021-09-16,1.96,0,1168.49,1168.49
2021-09-17,1.89,0,1168.49,1168.49
2021-09-20,1.69,0,1168.49,1168.49
2021-09-21,1.74,0,1168.49,1168.49
2021-09-22,1.71,0,1168.49,1168.49
2021-09-23,1.78,0,1168.49,1168.49
2021-09-24,1.64,0,1168.49,1168.49
2021-09-27,1.71,0,1168.49,1168.49
2021-09-28,1.69,0,1168.49,1168.49
