date,action,label,reason,price,qty,avg_cost,pnl,hold_days,cash,shares,realized_pnl_cumul
2021-07-16,BUY,1차 매수,가격($1.0500) <= 매수기준($1.08) / 예산 25%,1.0521,237,1.0532,0.0,0,750.4,237,0.0
2021-09-10,SELL,1차 매도,가격($1.6600) >= 매도기준($1.58) AND 수익률 >= 8%,1.6567,71,1.0532,42.73,56,867.91,166,42.73
2021-09-13,SELL,2차 매도,가격($1.7800) >= 매도기준($1.72) AND 수익률 >= 15%,1.7764,66,1.0532,47.62,59,985.04,100,90.35
2021-09-14,SELL,3차 매도,가격($1.8400) >= 매도기준($1.83) AND 수익률 >= 25%,1.8363,100,1.0532,78.13,60,1168.49,0,168.49
2022-01-27,BUY,1차 매수,가격($1.0700) <= 매수기준($1.08) / 예산 25%,1.0721,233,1.0732,0.0,0,918.43,233,168.49
2022-03-02,SELL,1차 매도,가격($1.6500) >= 매도기준($1.58) AND 수익률 >= 8%,1.6467,69,1.0732,39.46,34,1031.94,164,207.94
2022-03-08,SELL,2차 매도,가격($1.7600) >= 매도기준($1.72) AND 수익률 >= 15%,1.7565,65,1.0732,44.3,40,1145.99,99,252.24
2022-03-09,SELL,3차 매도,가격($1.8500) >= 매도기준($1.83) AND 수익률 >= 25%,1.8463,99,1.0732,76.35,41,1328.59,0,328.59
2022-05-12,BUY,1차 매수,가격($1.0400) <= 매수기준($1.08) / 예산 25%,1.0421,239,1.0431,0.0,0,1079.29,239,328.59
2023-03-15,BUY,2차 매수,가격($0.9600) <= 매수기준($0.96) / 예산 35%,0.9619,363,0.9947,0.0,0,729.76,602,328.59
2023-04-24,BUY,3차 매수,가격($0.8300) <= 매수기준($0.86) / 예산 40%,0.8317,480,0.9228,0.0,0,330.17,1082,328.59
2023-09-25,SELL,1차 매도,가격($1.6500) >= 매도기준($1.58) AND 수익률 >= 8%,1.6467,324,0.9228,234.02,501,863.16,758,562.62
2024-01-12,SELL,2차 매도,가격($1.7300) >= 매도기준($1.72) AND 수익률 >= 15%,1.7265,303,0.9228,243.02,610,1385.78,455,805.64
2024-01-30,SELL,3차 매도,가격($1.8500) >= 매도기준($1.83) AND 수익률 >= 25%,1.8463,455,0.9228,419.37,628,2225.01,0,1225.01
2024-08-02,BUY,1차 매수,가격($1.0500) <= 매수기준($1.08) / 예산 25%,1.0521,237,1.0532,0.0,0,1975.41,237,1225.01
2024-08-06,BUY,2차 매수,가격($0.9600) <= 매수기준($0.96) / 예산 35%,0.9619,363,0.9985,0.0,0,1625.88,600,1225.01
2025-03-03,BUY,3차 매수,가격($0.8200) <= 매수기준($0.86) / 예산 40%,0.8216,486,0.9197,0.0,0,1226.17,1086,1225.01
2025-09-19,SELL,1차 매도,가격($1.6500) >= 매도기준($1.58) AND 수익률 >= 8%,1.6467,325,0.9197,235.73,413,1760.81,761,1460.73
2025-09-25,SELL,2차 매도,가격($1.7500) >= 매도기준($1.72) AND 수익률 >= 15%,1.7465,304,0.9197,250.8,419,2291.22,457,1711.54
2025-10-07,SELL,3차 매도,가격($1.8500) >= 매도기준($1.83) AND 수익률 >= 25%,1.8463,457,0.9197,422.59,431,3134.13,0,2134.13
